shipment_id,date,origin_city,origin_state,destination_city,destination_state,destination_zip,carrier,service_level,weight_lbs,units,residential,special_handling
PLG-7668174,2026-03-01,Denver,CO,Pocatello,ID,83201,Peak Logistics,Standard,293.5,,FALSE,
PLG-9116148,2026-03-02,Denver,CO,Idaho Falls,ID,83401,Peak Logistics,Standard,1312.9,,FALSE,
PLG-2997927,2026-03-03,Denver,CO,Cheyenne,WY,82001,Peak Logistics,Standard,1657.8,,FALSE,"Liftgate, Inside Delivery"
PLG-6678044,2026-03-04,Denver,CO,Idaho Falls,ID,83401,Peak Logistics,Standard,1879.7,,FALSE,
PLG-1088762,2026-03-05,Denver,CO,Provo,UT,84601,Peak Logistics,Standard,1530.9,,FALSE,
PLG-7221581,2026-03-06,Denver,CO,Casper,WY,82601,Peak Logistics,Standard,1367,,FALSE,
PLG-5806156,2026-03-07,Denver,CO,Colorado Springs,CO,80901,Peak Logistics,Standard,1892.3,,FALSE,
PLG-1179690,2026-03-08,Denver,CO,Provo,UT,84601,Peak Logistics,Standard,390.4,,FALSE,
PLG-4886793,2026-03-09,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,65.9,,FALSE,
PLG-7701385,2026-03-10,Denver,CO,Grand Junction,CO,81501,Peak Logistics,Standard,357.3,,FALSE,Liftgate
PLG-2512732,2026-03-11,Denver,CO,Pueblo,CO,81001,Peak Logistics,Standard,777.3,,FALSE,
PLG-4263591,2026-03-12,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,2617.2,,FALSE,
PLG-5936726,2026-03-13,Denver,CO,Pueblo,CO,81001,Peak Logistics,Standard,890.4,,FALSE,Liftgate
PLG-5196677,2026-03-14,Denver,CO,Colorado Springs,CO,80901,Peak Logistics,Standard,1995.7,,FALSE,
PLG-8698199,2026-03-15,Denver,CO,Idaho Falls,ID,83401,Peak Logistics,Standard,1693.1,,FALSE,
PLG-4697401,2026-03-16,Denver,CO,Provo,UT,84601,Peak Logistics,Standard,1208.4,,FALSE,
PLG-5418274,2026-03-17,Denver,CO,Casper,WY,82601,Peak Logistics,Standard,1112.7,,FALSE,
PLG-3994493,2026-03-18,Denver,CO,Colorado Springs,CO,80901,Peak Logistics,Standard,1613.4,,FALSE,
PLG-4190481,2026-03-19,Denver,CO,Cheyenne,WY,82001,Peak Logistics,Standard,302.3,,FALSE,
PLG-5189194,2026-03-20,Denver,CO,Fort Collins,CO,80521,Peak Logistics,Standard,156.9,,FALSE,
PLG-9265544,2026-03-21,Denver,CO,Pocatello,ID,83201,Peak Logistics,Standard,101.3,,FALSE,
PLG-5609255,2026-03-22,Denver,CO,Provo,UT,84601,Peak Logistics,Standard,3259.1,,FALSE,
PLG-9024879,2026-03-23,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,151.3,,FALSE,"Liftgate, Inside Delivery"
PLG-9694039,2026-03-24,Denver,CO,Salt Lake City,UT,84101,Peak Logistics,Standard,1110.3,,FALSE,Redelivery
PLG-5357055,2026-03-25,Denver,CO,Colorado Springs,CO,80901,Peak Logistics,Standard,146.1,,FALSE,
PLG-9367972,2026-03-26,Denver,CO,Cheyenne,WY,82001,Peak Logistics,Standard,265,,FALSE,
PLG-4018040,2026-03-27,Denver,CO,Pueblo,CO,81001,Peak Logistics,Standard,1090,,FALSE,
PLG-7390162,2026-03-28,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,1756.5,,FALSE,
PLG-9673937,2026-03-01,Denver,CO,Fort Collins,CO,80521,Peak Logistics,Standard,514.3,,FALSE,"Liftgate, Inside Delivery"
PLG-7684074,2026-03-02,Denver,CO,Cheyenne,WY,82001,Peak Logistics,Standard,959,,FALSE,
PLG-8547311,2026-03-03,Denver,CO,Fort Collins,CO,80521,Peak Logistics,Standard,416.8,,FALSE,
PLG-1332781,2026-03-04,Denver,CO,Pocatello,ID,83201,Peak Logistics,Standard,312.2,,FALSE,
PLG-3928275,2026-03-05,Denver,CO,Cheyenne,WY,82001,Peak Logistics,Standard,1913.4,,FALSE,
PLG-2315459,2026-03-06,Denver,CO,Billings,MT,59101,Peak Logistics,Standard,353.8,,FALSE,
PLG-6660436,2026-03-07,Denver,CO,Cheyenne,WY,82001,Peak Logistics,Standard,1994.5,,FALSE,
PLG-6316334,2026-03-08,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,1729.1,,FALSE,Liftgate
