invoice_id,carrier,invoice_date,service_month,shipment_ref,destination_city,destination_state,destination_zip,weight_lbs,base_charge,fuel_surcharge,accessorial_fees,accessorial_detail,adjustments,total_charge
PK-INV-2026-1170,Peak Logistics,2026-04-09,March 2026,PLG-7668174,Pocatello,ID,83201,293.5,971.56,136.02,0,,0,1107.58
PK-INV-2026-1171,Peak Logistics,2026-04-09,March 2026,PLG-9116148,Idaho Falls,ID,83401,1312.9,1565.36,219.15,0,,0,1784.51
PK-INV-2026-1172,Peak Logistics,2026-04-09,March 2026,PLG-2997927,Cheyenne,WY,82001,1657.8,326.12,45.66,200,"Liftgate, Inside Delivery",0,571.78
PK-INV-2026-1173,Peak Logistics,2026-04-09,March 2026,PLG-6678044,Idaho Falls,ID,83401,1879.7,1565.36,219.15,0,,0,1784.51
PK-INV-2026-1174,Peak Logistics,2026-04-09,March 2026,PLG-1088762,Provo,UT,84601,1530.9,1597.97,223.72,0,,0,1821.69
PK-INV-2026-1175,Peak Logistics,2026-04-09,March 2026,PLG-7221581,Casper,WY,82601,1367,978.35,136.97,0,,0,1115.32
PK-INV-2026-1176,Peak Logistics,2026-04-09,March 2026,PLG-5806156,Colorado Springs,CO,80901,1892.3,228.28,31.96,0,,0,260.24
PK-INV-2026-1177,Peak Logistics,2026-04-09,March 2026,PLG-1179690,Provo,UT,84601,390.4,1081.96,151.47,0,,0,1233.43
PK-INV-2026-1178,Peak Logistics,2026-04-09,March 2026,PLG-4886793,Laramie,WY,82070,65.9,287.05,40.19,0,,0,327.24
PK-INV-2026-1179,Peak Logistics,2026-04-09,March 2026,PLG-7701385,Grand Junction,CO,81501,357.3,540.98,75.74,75,Liftgate,0,691.72
PK-INV-2026-1180,Peak Logistics,2026-04-09,March 2026,PLG-2512732,Pueblo,CO,81001,777.3,358.73,50.22,0,,0,408.95
PK-INV-2026-1181,Peak Logistics,2026-04-09,March 2026,PLG-4263591,Laramie,WY,82070,2617.2,565.27,79.14,0,,0,644.41
PK-INV-2026-1182,Peak Logistics,2026-04-09,March 2026,PLG-5936726,Pueblo,CO,81001,890.4,358.73,50.22,75,Liftgate,0,483.95
PK-INV-2026-1183,Peak Logistics,2026-04-09,March 2026,PLG-5196677,Colorado Springs,CO,80901,1995.7,228.28,31.96,0,,0,260.24
PK-INV-2026-1184,Peak Logistics,2026-04-09,March 2026,PLG-8698199,Idaho Falls,ID,83401,1693.1,1565.36,219.15,0,,0,1784.51
