invoice_id,carrier,invoice_date,service_month,shipment_ref,destination_city,destination_state,destination_zip,weight_lbs,base_charge,fuel_surcharge,accessorial_fees,accessorial_detail,adjustments,total_charge
PK-INV-2025-1036,Peak Logistics,2025-12-11,November 2025,PLG-5446344,Pueblo,CO,81001,118.3,218.54,30.6,0,,-335.03,-85.89
PK-INV-2025-1037,Peak Logistics,2025-12-11,November 2025,PLG-7375499,Pueblo,CO,81001,1830.3,322.77,45.19,0,,0,367.96
PK-INV-2025-1038,Peak Logistics,2025-12-11,November 2025,PLG-5821419,Great Falls,MT,59401,1690,2083.32,291.66,75,Liftgate,0,2449.98
PK-INV-2025-1039,Peak Logistics,2025-12-11,November 2025,PLG-2686231,Great Falls,MT,59401,500.7,2083.32,291.66,0,,0,2374.98
PK-INV-2025-1040,Peak Logistics,2025-12-11,November 2025,PLG-7288789,Cheyenne,WY,82001,2123.2,391.23,54.77,0,,0,446
PK-INV-2025-1041,Peak Logistics,2025-12-11,November 2025,PLG-7418028,Fort Collins,CO,80521,1383.3,190.73,26.7,75,Liftgate,0,292.43
PK-INV-2025-1042,Peak Logistics,2025-12-11,November 2025,PLG-1157662,Casper,WY,82601,1355.8,880.28,123.24,0,,-52.02,951.5
PK-INV-2025-1043,Peak Logistics,2025-12-11,November 2025,PLG-6797629,Idaho Falls,ID,83401,2959.6,1877.93,262.91,0,,0,2140.84
PK-INV-2025-1044,Peak Logistics,2025-12-11,November 2025,PLG-4342306,Billings,MT,59101,1122.3,1613.84,225.94,0,,0,1839.78
PK-INV-2025-1045,Peak Logistics,2025-12-11,November 2025,PLG-5953150,Billings,MT,59101,220.1,1092.71,152.98,0,,0,1245.69
PK-INV-2025-1046,Peak Logistics,2025-12-11,November 2025,PLG-1822825,Pueblo,CO,81001,309.6,218.54,30.6,0,,0,249.14
PK-INV-2025-1047,Peak Logistics,2025-12-11,November 2025,PLG-6910964,Great Falls,MT,59401,1837.7,2083.32,291.66,0,,0,2374.98
PK-INV-2025-1048,Peak Logistics,2025-12-11,November 2025,PLG-3294774,Fort Collins,CO,80521,1547.6,190.73,26.7,0,,0,217.43
