invoice_id,carrier,invoice_date,service_month,shipment_ref,destination_city,destination_state,destination_zip,weight_lbs,base_charge,fuel_surcharge,accessorial_fees,accessorial_detail,adjustments,total_charge
PK-INV-2026-1072,Peak Logistics,2026-01-09,December 2025,PLG-8948107,Idaho Falls,ID,83401,556.4,1776.72,248.74,0,,0,2025.46
PK-INV-2026-1073,Peak Logistics,2026-01-09,December 2025,PLG-3726331,Fort Collins,CO,80521,1264.3,240.6,33.68,0,,0,274.28
PK-INV-2026-1074,Peak Logistics,2026-01-09,December 2025,PLG-9931180,Laramie,WY,82070,942.8,481.19,67.37,0,,0,548.56
PK-INV-2026-1075,Peak Logistics,2026-01-09,December 2025,PLG-7988386,Laramie,WY,82070,414.5,325.81,45.61,0,,0,371.42
PK-INV-2026-1076,Peak Logistics,2026-01-09,December 2025,PLG-4817541,Colorado Springs,CO,80901,912.6,259.1,36.27,0,,0,295.37
PK-INV-2026-1077,Peak Logistics,2026-01-09,December 2025,PLG-7378535,Provo,UT,84601,1312.6,1813.73,253.92,0,,0,2067.65
PK-INV-2026-1078,Peak Logistics,2026-01-09,December 2025,PLG-4420734,Fort Collins,CO,80521,465.1,162.9,22.81,75,Liftgate,-67.43,193.28
PK-INV-2026-1079,Peak Logistics,2026-01-09,December 2025,PLG-4478616,Laramie,WY,82070,3380.6,641.59,89.82,75,Liftgate,0,806.41
PK-INV-2026-1080,Peak Logistics,2026-01-09,December 2025,PLG-6743294,Pueblo,CO,81001,953.2,407.16,57,0,,0,464.16
PK-INV-2026-1081,Peak Logistics,2026-01-09,December 2025,PLG-4772642,Cheyenne,WY,82001,778.4,370.15,51.82,0,,0,421.97
PK-INV-2026-1082,Peak Logistics,2026-01-09,December 2025,PLG-9049765,Billings,MT,59101,1585.9,2035.82,285.01,0,,0,2320.83
PK-INV-2026-1083,Peak Logistics,2026-01-09,December 2025,PLG-7619156,Cheyenne,WY,82001,310,250.62,35.09,0,,0,285.71
PK-INV-2026-1084,Peak Logistics,2026-01-09,December 2025,PLG-8421839,Casper,WY,82601,182.7,751.87,105.26,0,,0,857.13
PK-INV-2026-1085,Peak Logistics,2026-01-09,December 2025,PLG-5557052,Idaho Falls,ID,83401,417.2,1202.99,168.42,0,,0,1371.41
PK-INV-2026-1086,Peak Logistics,2026-01-09,December 2025,PLG-4786141,Laramie,WY,82070,836.2,481.19,67.37,0,,0,548.56
PK-INV-2026-1087,Peak Logistics,2026-01-09,December 2025,PLG-3306314,Grand Junction,CO,81501,198.9,614.02,85.96,0,,0,699.98
PK-INV-2026-1088,Peak Logistics,2026-01-09,December 2025,PLG-8980915,Laramie,WY,82070,2272.9,641.59,89.82,0,,0,731.41
PK-INV-2026-1089,Peak Logistics,2026-01-09,December 2025,PLG-4896008,Fort Collins,CO,80521,921.6,240.6,33.68,50,Appointment Delivery,0,324.28
PK-INV-2026-1090,Peak Logistics,2026-01-09,December 2025,PLG-7660463,Colorado Springs,CO,80901,2335.3,345.47,48.37,200,"Liftgate, Inside Delivery",0,593.84
PK-INV-2026-1091,Peak Logistics,2026-01-09,December 2025,PLG-1155477,Casper,WY,82601,3563.1,1480.6,207.28,0,,0,1687.88
PK-INV-2026-1092,Peak Logistics,2026-01-09,December 2025,PLG-9796605,Laramie,WY,82070,486.4,325.81,45.61,0,,0,371.42
PK-INV-2026-1093,Peak Logistics,2026-01-09,December 2025,PLG-8699307,Fort Collins,CO,80521,1182.2,240.6,33.68,75,Liftgate,0,349.28
PK-INV-2026-1094,Peak Logistics,2026-01-09,December 2025,PLG-4240708,Casper,WY,82601,199.5,751.87,105.26,0,,0,857.13
PK-INV-2026-1095,Peak Logistics,2026-01-09,December 2025,PLG-4100114,Pueblo,CO,81001,1242.4,407.16,57,0,,0,464.16
PK-INV-2026-1096,Peak Logistics,2026-01-09,December 2025,PLG-5479421,Billings,MT,59101,159.5,1378.42,192.98,0,,0,1571.4
