invoice_id,carrier,invoice_date,service_month,shipment_ref,destination_city,destination_state,destination_zip,weight_lbs,base_charge,fuel_surcharge,accessorial_fees,accessorial_detail,adjustments,total_charge
PK-INV-2026-1135,Peak Logistics,2026-03-08,February 2026,PLG-4776753,Colorado Springs,CO,80901,318.4,243.53,34.09,0,,0,277.62
PK-INV-2026-1136,Peak Logistics,2026-03-08,February 2026,PLG-1149283,Pocatello,ID,83201,1308.7,2260.84,316.52,0,,0,2577.36
PK-INV-2026-1137,Peak Logistics,2026-03-08,February 2026,PLG-6124763,Fort Collins,CO,80521,1360.5,333.99,46.76,0,,0,380.75
PK-INV-2026-1138,Peak Logistics,2026-03-08,February 2026,PLG-8829893,Pocatello,ID,83201,1058.7,2260.84,316.52,0,,0,2577.36
PK-INV-2026-1139,Peak Logistics,2026-03-08,February 2026,PLG-7278533,Laramie,WY,82070,1070.7,667.98,93.52,0,,0,761.5
PK-INV-2026-1140,Peak Logistics,2026-03-08,February 2026,PLG-6454894,Laramie,WY,82070,926.4,667.98,93.52,150,Redelivery,0,911.5
PK-INV-2026-1141,Peak Logistics,2026-03-08,February 2026,PLG-5031599,Pocatello,ID,83201,1958.4,2260.84,316.52,75,Liftgate,0,2652.36
PK-INV-2026-1142,Peak Logistics,2026-03-08,February 2026,PLG-5959422,Provo,UT,84601,959.6,2517.75,352.49,75,Liftgate,0,2945.24
PK-INV-2026-1143,Peak Logistics,2026-03-08,February 2026,PLG-4186247,Pueblo,CO,81001,1622.5,565.21,79.13,0,,0,644.34
PK-INV-2026-1144,Peak Logistics,2026-03-08,February 2026,PLG-7014583,Fort Collins,CO,80521,1462.3,333.99,46.76,0,,0,380.75
PK-INV-2026-1145,Peak Logistics,2026-03-08,February 2026,PLG-5339457,Fort Collins,CO,80521,1783.3,333.99,46.76,75,Liftgate,0,455.75
PK-INV-2026-1146,Peak Logistics,2026-03-08,February 2026,PLG-2498202,Provo,UT,84601,788.2,2517.75,352.49,0,,0,2870.24
PK-INV-2026-1147,Peak Logistics,2026-03-08,February 2026,PLG-5371458,Fort Collins,CO,80521,984.8,333.99,46.76,0,,0,380.75
PK-INV-2026-1148,Peak Logistics,2026-03-08,February 2026,PLG-2194801,Pueblo,CO,81001,1242.8,565.21,79.13,0,,0,644.34
PK-INV-2026-1149,Peak Logistics,2026-03-08,February 2026,PLG-1907009,Fort Collins,CO,80521,1795.3,333.99,46.76,0,,0,380.75
